ID,Year,Activity,Fuel,Type,Unit,kg CO2e,kg CO2,kg CH4,kg N2O
1,2020,Cars (by size),Diesel,Small car,km,0.13721,0.13537,0.000003,0.00184
2,2020,Cars (by size),Diesel,Medium car,km,0.16637,0.16453,0.000003,0.00184
3,2020,Cars (by size),Diesel,Large car,km,0.20419,0.20235,0.000003,0.00184
4,2020,Cars (by size),Diesel,Average car,km,0.16844,0.1666,0.000003,0.00184
5,2020,Cars (by size),Petrol,Small car,km,0.14836,0.14769,0.00031,0.00036
6,2020,Cars (by size),Petrol,Medium car,km,0.18659,0.18592,0.00031,0.00036
7,2020,Cars (by size),Petrol,Large car,km,0.27807,0.2774,0.00031,0.00036
8,2020,Cars (by size),Petrol,Average car,km,0.1743,0.17363,0.00031,0.00036
9,2020,Cars (by size),Hybrid,Small car,km,0.10275,0.10168,0.0002,0.00087
10,2020,Cars (by size),Hybrid,Medium car,km,0.10698,0.10567,0.00015,0.00116
11,2020,Cars (by size),Hybrid,Large car,km,0.1448,0.14326,0.00008,0.00146
12,2020,Cars (by size),Hybrid,Average car,km,0.11558,0.11433,0.00016,0.00109
13,2020,Cars (by size),CNG,Small car,km,,,,
14,2020,Cars (by size),CNG,Medium car,km,0.15935,0.15738,0.00155,0.00042
15,2020,Cars (by size),CNG,Large car,km,0.2368,0.23483,0.00155,0.00042
16,2020,Cars (by size),CNG,Average car,km,0.17621,0.17424,0.00155,0.00042
17,2020,Cars (by size),LPG,Small car,km,,,,
18,2020,Cars (by size),LPG,Medium car,km,0.17847,0.178,0.00005,0.00042
19,2020,Cars (by size),LPG,Large car,km,0.26606,0.26559,0.00005,0.00042
20,2020,Cars (by size),LPG,Average car,km,0.19754,0.19707,0.00005,0.00042
21,2020,Cars (by size),Unknown,Small car,km,0.14449,0.14342,0.0002,0.00087
22,2020,Cars (by size),Unknown,Medium car,km,0.17571,0.1744,0.00015,0.00116
23,2020,Cars (by size),Unknown,Large car,km,0.22321,0.22167,0.00008,0.00146
24,2020,Cars (by size),Unknown,Average car,km,0.1714,0.17015,0.00016,0.00109
25,2020,Cars (by size),Plug-in Hybrid Electric Vehicle,Small car,km,0.0586,0.05814,0.00018,0.00028
26,2020,Cars (by size),Plug-in Hybrid Electric Vehicle,Medium car,km,0.09251,0.09189,0.00028,0.00034
27,2020,Cars (by size),Plug-in Hybrid Electric Vehicle,Large car,km,0.10515,0.10444,0.00032,0.00039
28,2020,Cars (by size),Plug-in Hybrid Electric Vehicle,Average car,km,0.09712,0.09646,0.0003,0.00036
29,2020,Cars (by size),Battery Electric Vehicle,Small car,km,0.04637,0.04595,0.00014,0.00028
30,2020,Cars (by size),Battery Electric Vehicle,Medium car,km,0.05563,0.05513,0.00017,0.00033
31,2020,Cars (by size),Battery Electric Vehicle,Large car,km,0.06646,0.06587,0.0002,0.00039
32,2020,Cars (by size),Battery Electric Vehicle,Average car,km,0.05728,0.05676,0.00018,0.00034
